,Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
128,Niger,NER,15342278919.4009,26207977.0,3058157.0,7.0,49.276222,73.817625647653,,,10237246.0,1266700.0,2.0,30.0,27.6,623.759700911182,965976158.959644,4.22621791916393,15.0,,115.0
129,Nigeria,NGA,472624597402.898,218541212.0,128759470.0,8.0,49.47219,79.2009953419212,,73956230.0,75721345.0,910770.0,1.0,30.0,27.2,425.979158066857,-186792428.930928,18.8471877843274,51.0,44.2,9932.0
130,North Macedonia,MKD,13563132102.1663,2057679.0,7588422.0,6.0,50.14111,67.937666310808,,1718534.0,907306.0,25220.0,2.0,10.0,11.7,58.5743916666667,854152514.519015,14.2047173195833,,79.6,50.0
131,Northern Mariana Islands,MNP,,49551.0,,,46.248055,0.0,,,,460.0,,21.0,,,,,,,0.0
132,Norway,NOR,593348981537.661,5457127.0,40808000.0,7.0,49.55489,89.9453949763378,0.5367368,5218441.0,2996483.0,364285.0,3.0,22.0,2.9,9.61416666666667,12903798815.5099,5.76412317852272,100.0,90.9,8727.0
133,Oman,OMN,114667360208.062,4576298.0,71986390.0,5.0,38.905304,36.2212825615051,0.24333748,4326686.0,2315787.0,309500.0,0.0,15.0,27.9,0.3845,5478803641.09233,2.81184097477163,87.0,90.5,3341.0
134,Pakistan,PAK,374697366359.244,235824862.0,200199900.0,8.0,49.51824,30.1888655721516,3.9787881,56799184.0,80989797.0,770880.0,1.0,29.0,22.2,204.867187469982,1415000000.0,19.8738599646655,55.0,48.7,2220.0
135,Palau,PLW,,18055.0,219249.0,,47.95273,0.0,,,,460.0,,,,1.0,72014000.0,12.3526638378124,100.0,,0.0
136,Panama,PAN,76522511800.0,4408581.0,11899901.0,7.0,49.979557,65.9042107468315,12.639997,2759146.0,2095776.0,74180.0,2.0,25.0,25.3,1.0,2997059850.12,2.85748282185328,94.0,74.8,41.0
137,Papua New Guinea,PNG,31603619041.7903,10142619.0,7823140.0,6.0,48.360054,96.5218295218295,,,3228808.0,452860.0,1.0,30.0,24.8,3.51922970506745,326714860.795,5.25323922215241,63.0,,596.0
138,Paraguay,PRY,41722295229.2279,6780744.0,9018049.0,6.0,49.80063,72.2232336841083,7.8313804,4895026.0,3468731.0,397300.0,2.0,10.0,23.9,6982.75237776692,672035411.403589,9.76556667164402,94.0,71.7,293.0
139,Peru,PER,242631573320.79,34049588.0,60921110.0,8.0,50.482346,82.8726641684062,,21731361.0,18529435.0,1280000.0,2.0,29.5,19.6,3.83518137473542,10848486727.5594,8.33370630096231,94.0,73.4,890.0
140,Philippines,PHL,404284326110.463,115559009.0,150395980.0,9.0,49.22963,64.59328179517,,55871109.0,49477060.0,298170.0,1.0,25.0,26.6,54.477785837205,9365998303.16135,5.82115811213955,95.0,65.0,1229.0
141,Poland,POL,688125010520.52,36821749.0,323117300.0,10.0,51.64332,77.0872567482737,0.71265,31966596.0,17986215.0,306130.0,2.0,19.0,9.7,4.45775833333333,36900000000.0,14.4294507575758,100.0,94.6,2423.0
142,Portugal,PRT,255196660987.427,10409704.0,41605030.0,8.0,52.82134,86.868607519364,0.7968822,8059531.0,5345459.0,91605.6,2.0,31.5,16.9,,9531041797.40264,7.83269124233323,94.0,85.6,254.0
143,Puerto Rico,PRI,113434800000.0,3221789.0,,,52.764996,60.9741694605303,,,1162692.0,8870.0,,37.5,,,,,,,2.0
144,Qatar,QAT,236258302839.653,2695122.0,101340350.0,6.0,27.32503,66.4067435045098,0.33479217,2750807.0,2035269.0,11490.0,0.0,10.0,29.1,3.64,76098901.098901,4.99527553740761,96.0,97.3,9216.0
145,Romania,ROU,300691354864.855,19047009.0,73521290.0,10.0,51.651966,68.6122402707824,1.2623806,15253305.0,8134075.0,230080.0,2.0,16.0,11.2,4.688475,11477511658.9305,13.7954887432521,99.0,87.0,941.0
146,Russian Federation,RUS,2240422427458.58,144236933.0,1652177300.0,7.0,53.555218,78.8593277043174,6.7993197,123766963.0,72352166.0,16376870.0,1.0,20.0,,68.4849416666667,-39799830000.0,,100.0,88.9,60041.0
147,Rwanda,RWA,13311487445.0686,13776698.0,1547760.0,6.0,51.104637,82.9035123375939,,3483787.0,5283082.0,24670.0,1.0,30.0,19.1,1030.30829974206,398599354.801508,17.6892095588154,66.0,40.1,89.0
148,Samoa,WSM,832945205.637185,222382.0,249491.0,,49.008522,61.5014408365765,,,76895.0,2780.0,,27.0,,2.68899764734059,4800455.46477421,10.9618822286844,99.0,63.1,2.0
149,Sao Tome and Principe,STP,542686976.457587,227380.0,132255.0,4.0,50.11138,53.6019536019536,,72154.0,76394.0,960.0,2.0,25.0,,23.2904039548641,126744195.956601,18.0056351122846,70.0,54.5,1.0
150,Saudi Arabia,SAU,1108571517285.38,36408820.0,662549400.0,6.0,42.236393,43.1837235200641,,35226770.0,16933906.0,2149690.0,0.0,20.0,26.5,3.75,28055082623.9904,2.4740737192537,94.0,94.9,25618.0
151,Senegal,SEN,27684264748.2324,17316449.0,11668435.0,9.0,50.837273,58.8339305553382,,7001787.0,5257332.0,192530.0,2.0,30.0,29.0,623.759700911182,2586179934.266,9.69681899081073,52.0,66.5,86.0
152,Serbia,SRB,63563401043.5044,6664449.0,43506644.0,8.0,52.07316,75.0497296182239,1.0552616,5766328.0,3326862.0,87460.0,1.0,15.0,12.6,111.662183333333,4612248811.51069,11.9815117344703,98.0,85.1,458.0
153,Seychelles,SYC,1588438144.37685,119878.0,658828.0,3.0,47.30866,0.0,4.6961365,83381.0,,460.0,3.0,25.0,,14.2727945255291,189823893.166482,,94.0,80.9,0.0
154,Sierra Leone,SLE,4094563859.43556,8605718.0,1129488.0,8.0,49.898827,91.476213307762,,1482115.0,2912540.0,72180.0,2.0,25.0,26.6,14.0476497942157,293970572.80401,27.2082883814653,46.0,,56.0
155,Singapore,SGP,466788426791.966,5637022.0,53252430.0,9.0,47.694603,80.8930071398572,0.10099207,5437341.0,3469861.0,718.0,1.0,17.0,27.7,1.37866666666667,140844052224.371,6.12106004039418,96.0,97.4,26.0
156,Slovak Republic,SVK,115461711688.965,5431752.0,34151680.0,9.0,51.173466,83.5569872042277,1.0096148,4906697.0,2768693.0,48080.0,3.0,21.0,9.8,,4049276966.11627,12.7741463637611,100.0,87.1,280.0
157,Slovenia,SVN,60063475466.3446,2111986.0,12714800.0,10.0,49.742004,85.2306182531894,0.4246466,1833911.0,1050575.0,20136.4,2.0,19.0,11.0,,2180392923.46606,8.83369886749452,100.0,88.4,151.0
158,Solomon Islands,SLB,1597204340.62902,724273.0,298633.0,3.0,48.904076,95.9388155071842,,,382330.0,27990.0,2.0,30.0,,8.1555286976263,40718832.6899574,5.51812928576961,77.0,,3.0
159,Somalia,SOM,10419541202.0382,17597511.0,646921.0,6.0,49.866177,44.7466948704389,,,3276784.0,627340.0,0.0,,,,636000000.0,,39.0,21.4,151.0
